fast_period,slow_period,sharpe_ratio,annual_return,max_drawdown,calmar_ratio,total_trades
8,60,-38.69666471609515,0.045128047718545616,-0.07819768013519117,0.5771021293793691,12
8,59,-38.77163045474764,0.040061497712295946,-0.0900144513530009,0.44505628940836034,13
5,51,-38.82036282819747,0.03368557159939556,-0.1137194015351396,0.2962165746975605,16
3,52,-38.8353707018968,0.03988817613125306,-0.09166443588416678,0.4351543294463557,21
6,59,-38.83907788775742,0.0536608208325795,-0.07312877193181144,0.7337853407768868,12
7,56,-38.88405881988045,0.04626226680100043,-0.08720851935003669,0.5304787553531713,13
5,54,-38.88667371616231,0.04263194111473467,-0.09324922266929316,0.45718280425701946,15
6,60,-38.901066198197604,0.05237647215037278,-0.07086072155731263,0.7391467515330102,11
9,60,-38.90489026083784,0.039963766385109345,-0.08103185551473108,0.49318587278115805,11
10,60,-38.91060060386148,0.043593024348664855,-0.07667792221042971,0.5685212000011047,11
8,58,-38.91554549818189,0.037302602532385265,-0.09029432838549109,0.41312232118423087,12
7,60,-38.91661496396257,0.0419677289043463,-0.08033111121958471,0.5224343130226061,12
5,53,-38.917535079433186,0.04271086139229219,-0.09932783798544104,0.42999890321334217,15
4,47,-38.92707221464466,0.030735054934405426,-0.12348108611917674,0.24890496107834476,21
6,58,-38.94032898375486,0.05060149024473937,-0.07290210385701824,0.6941019198017011,12
7,59,-38.945316445818335,0.040501445201091,-0.08443346819339073,0.47968472772342385,11
6,52,-38.9478479115624,0.042039468273236125,-0.0891459952036268,0.47157999837468634,16
4,51,-38.95425715691561,0.040812567358217144,-0.09634831004194262,0.42359401364124083,20
6,57,-38.95491718776303,0.0502138627543669,-0.0730683520561785,0.6872176714175796,12
7,58,-38.9592100276571,0.045005654189167466,-0.08397313273674868,0.5359530211914066,11
20,59,-38.95994691807271,0.030021611978803264,-0.08487851003553705,0.3537009776235914,9
7,57,-38.962800056157825,0.04414436606112737,-0.08551319839657058,0.5162286862012372,11
5,57,-38.96384949054811,0.04590886547983786,-0.07970612814591996,0.5759766099262955,14
20,60,-38.97123606949211,0.029666906103842372,-0.08487970341472525,0.3495170801774461,9
5,56,-38.97462633963014,0.0475012878124792,-0.08077378361538354,0.5880780333215996,13
6,53,-38.9818203724172,0.039917085280061215,-0.09348054482346668,0.4270095489435008,15
4,52,-38.98261558571971,0.04051049224513825,-0.08995811433424006,0.4503261606242791,19
6,56,-38.98279499939116,0.050143979650463244,-0.07222440551842114,0.6942802684291227,13
7,55,-38.984749564864515,0.04575809880940085,-0.07751411263943367,0.5903195850573717,13
9,59,-38.99139452226859,0.03854396333913268,-0.08759477867148152,0.4400258088862727,12
10,59,-38.99768748600513,0.04248087328926342,-0.07668130252961847,0.5539925886477347,11
5,58,-39.00203579285051,0.05051895739289769,-0.06776738446938213,0.7454759806426139,14
5,55,-39.00673374416403,0.0452578434958717,-0.08289758609953964,0.5459488704716703,13
6,54,-39.00730106965158,0.040945394353508746,-0.09383868132404785,0.4363381259814843,14
3,53,-39.011152258499585,0.04002672980802924,-0.09009856759364013,0.4442548963548078,22
5,52,-39.01148290161642,0.03627407063158117,-0.10768124925907042,0.3368652470246639,15
8,55,-39.02341131661468,0.03900610985043684,-0.08997209498104929,0.4335356407856531,12
3,51,-39.024615861956235,0.028571661791487735,-0.11013521417077149,0.2594234914473912,22
8,56,-39.02527338768197,0.03952930027606438,-0.08803775182353112,0.4490039722424945,12
19,60,-39.03473877204184,0.02847481387628914,-0.08488475582180659,0.33545262162342304,9
4,46,-39.03951030736788,0.02776895627085718,-0.12348883842890453,0.2248701714596209,21
8,57,-39.04202528390859,0.03937577754220545,-0.09109522556598616,0.4322485322096604,12
6,55,-39.04332469685655,0.04406660809475049,-0.07404699453348397,0.5951167683763805,13
3,50,-39.04757438445109,0.027885984445186196,-0.11038227554546533,0.2526309981143689,22
9,58,-39.05024836498608,0.035078319864267904,-0.0903289297367832,0.38833981501259307,13
5,50,-39.05085331514197,0.03197380039936526,-0.11406977040900486,0.28030038356981907,17
4,48,-39.056321597499014,0.03147725208407781,-0.11027464062361633,0.2854441592923828,20
8,54,-39.06290839926872,0.03962831505845976,-0.08290923136456176,0.4779722885646997,11
6,51,-39.064809241485186,0.040041032459270376,-0.09601718588802513,0.4170194334373231,14
11,60,-39.08675175197608,0.04072060479787254,-0.07861561103291208,0.5179709762838965,11
4,53,-39.09182443260951,0.046640837166567195,-0.08177625706873222,0.5703469300064197,18
11,59,-39.09325934614253,0.0390772174249987,-0.07862073235534953,0.4970345130897245,11
4,49,-39.098807996731786,0.03226820060295843,-0.109413142537212,0.29492070015248706,21
6,50,-39.10263191872727,0.03262853976890856,-0.10403081742819077,0.3136430201697783,15
5,59,-39.104364717534196,0.05100356005260931,-0.06550474721622106,0.7786238741484557,13
10,58,-39.1064335663267,0.03326536168586358,-0.08917374635777035,0.37303985808111034,12
7,54,-39.13177415411742,0.04278273356463913,-0.0758229291080326,0.5642453287933817,13
4,50,-39.13181292444007,0.03828188676087141,-0.09308993211495496,0.4112355212978117,21
9,56,-39.137142554890254,0.035882907703954636,-0.09601384157877497,0.3737264035468714,12
3,54,-39.1386390715949,0.03932194677056522,-0.09105094578030437,0.4318675268398049,20
3,55,-39.14067856932379,0.041592291040659646,-0.08605289688312286,0.48333400207491384,21
5,60,-39.14303039894896,0.05024019728847584,-0.06550672942035123,0.7669471172356763,13
3,56,-39.1439671344226,0.03875676258793259,-0.09680459529518984,0.4003607728512284,22
9,57,-39.15084018920685,0.036837573200365625,-0.09125735092684455,0.40366691369220287,12
20,57,-39.156583216851054,0.029487329636568305,-0.08991357500702604,0.32795192087806657,10
12,58,-39.16266789176822,0.03613175150241066,-0.0899526874445003,0.4016750641797501,9
8,53,-39.16412763708956,0.03776481389263786,-0.08291804093803154,0.45544749327665907,11
3,48,-39.16812589492155,0.03598698736571038,-0.09662293533273647,0.3724476724059712,22
12,60,-39.172029864554524,0.035266476220896514,-0.07942271341953808,0.4440351469057329,11
4,57,-39.178118112022,0.04746764748049248,-0.07587099449794994,0.6256362895279444,20
3,49,-39.17828299436442,0.03207153033457644,-0.09697005265222998,0.33073644344194236,22
18,30,-39.18621077494573,0.009762151061054603,-0.13150793842653252,0.07423240891657859,20
12,54,-39.188493439867905,0.0377959877388534,-0.09042203335954042,0.4179953307239529,10
9,55,-39.19501810582569,0.03602291647264444,-0.08850292526915599,0.40702515044662296,11
6,49,-39.19784407389966,0.031945760885365715,-0.10896011067007731,0.2931876692204818,16
12,55,-39.19785847452431,0.03797044535405192,-0.09042140817987036,0.419927604738464,9
4,45,-39.198265572201045,0.029802262834999205,-0.11518904895922147,0.2587247928885117,22
12,53,-39.198532303812435,0.038609521680532666,-0.08719782286379531,0.4427807990211119,10
4,54,-39.203347399842045,0.04759423972400256,-0.07616416725553897,0.6248901739359766,20
11,57,-39.20507948938607,0.04296607653722084,-0.07824620292856035,0.549113885774743,10
4,58,-39.21240389883973,0.04739826210193865,-0.07291772786850541,0.6500238486231121,18
12,59,-39.21264290635022,0.035236655541703854,-0.08995587857909051,0.3917104262477218,10
11,55,-39.2130116450541,0.04280194926959968,-0.08379537199768941,0.5107913271246044,9
11,56,-39.2130116450541,0.04280194926959968,-0.08379537199768941,0.5107913271246044,9
17,32,-39.22342455175463,0.010859200079615938,-0.11677360720323904,0.09299361679147244,16
12,56,-39.233412394388296,0.03752382650703545,-0.08487436478110948,0.44211024852803543,9
20,58,-39.23347105620654,0.02917864020206551,-0.08991467512511783,0.32451477093658987,9
11,58,-39.23637721141485,0.04078921626267107,-0.07825295480976469,0.5212482565269375,11
12,57,-39.23966494491259,0.038398817777873795,-0.08487142145367754,0.4524351910240092,9
4,59,-39.24579582458797,0.045538361110808445,-0.07611332982360756,0.5982967926425433,16
19,59,-39.247789105074965,0.026236215161068444,-0.09551591508818162,0.2746789907927575,9
4,60,-39.2482338920401,0.04588414158135379,-0.07335022117692572,0.6255487828820328,14
19,57,-39.25038435141107,0.02382550477422196,-0.08993485916297393,0.26491957619066236,9
3,59,-39.25415921594167,0.044074217091205625,-0.07800672221636659,0.5650053718313832,19
10,57,-39.25521503098115,0.03826457594238164,-0.07972007333752959,0.47998671276143867,12
3,47,-39.25559733899729,0.02914554661708202,-0.10421137321841897,0.2796772148467443,24
3,60,-39.256857145399636,0.043434650412832454,-0.07753685103726152,0.5601807376979917,20
3,57,-39.27211440917898,0.03791019826389075,-0.10019800254516788,0.3783528343970865,22
